Fri Mar 24 02:28:37 2023    ./matching/matching.prof

         83749 function calls in 17.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 __init__.py:1436(info)
      120    0.000    0.000    0.000    0.000 factorgraph.py:115(calc_a)
       33    0.000    0.000    0.001    0.000 utils.py:329(_text_width)
       30    0.000    0.000    0.000    0.000 __init__.py:292(validate_weights)
       24    0.000    0.000    0.002    0.000 utils.py:143(inner)
       11    0.000    0.000    0.002    0.000 std.py:348(print_status)
       11    0.000    0.000    0.000    0.000 {built-in method now}
       30    0.000    0.000    0.000    0.000 __init__.py:332(<listcomp>)
       36    0.000    0.000    0.000    0.000 {built-in method time.time}
       30    0.000    0.000    0.000    0.000 __init__.py:663(global_env)
       11    0.000    0.000    0.000    0.000 std.py:155(__init__)
       30    0.000    0.000    0.000    0.000 __init__.py:333(<listcomp>)
       30    0.000    0.000    0.000    0.000 {built-in method math.log}
      231    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       12    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 trueskill_.py:22(save_rating)
        1    0.000    0.000    0.000    0.000 std.py:583(_decr_instances)
       80    0.000    0.000    0.000    0.000 random.py:8(__init__)
       90    0.000    0.000    0.000    0.000 __init__.py:508(<genexpr>)
        1    0.000    0.000    0.001    0.001 std.py:1279(close)
       30    0.000    0.000    0.000    0.000 __init__.py:334(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'return_turn' of 'bitboard.bitothello.OthelloGameC' objects}
       60    0.000    0.000    0.000    0.000 __init__.py:485(<lambda>)
       11    0.000    0.000    0.001    0.000 utils.py:341(disp_trim)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       30    0.000    0.000    0.000    0.000 {method 'auto_mode' of 'bitboard.bitothello.OthelloGameC' objects}
        2    0.000    0.000    0.000    0.000 std.py:1300(fp_write)
        1    0.000    0.000    0.000    0.000 __init__.py:177(__init__)
       14    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       60    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       30    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
       30    0.000    0.000    0.000    0.000 __init__.py:511(<listcomp>)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       55    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
       60    0.000    0.000    0.000    0.000 __init__.py:507(<lambda>)
       11    0.000    0.000    0.000    0.000 utils.py:57(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       11    0.000    0.000    0.000    0.000 utils.py:61(__format__)
       11    0.000    0.000    0.000    0.000 std.py:169(colour)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
       14    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
       11    0.000    0.000    0.000    0.000 std.py:165(colour)
        1    0.000    0.000    0.000    0.000 __init__.py:673(setup)
        2    0.000    0.000    0.000    0.000 std.py:1167(_comparable)
        1    0.000    0.000    0.000    0.000 std.py:1171(__hash__)
        1    0.000    0.000    0.000    0.000 utils.py:74(__eq__)
        1    0.000    0.000   17.593   17.593 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.000    0.000 std.py:115(__exit__)
        2    0.000    0.000    0.000    0.000 std.py:112(__enter__)
        2    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 backends.py:84(choose_backend)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 std.py:1315(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
