Tue Mar 28 00:11:28 2023    ./matching/matching.prof

         475538238 function calls (475538189 primitive calls) in 250.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
       20    0.000    0.000    0.066    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
       20    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
       20    0.000    0.000    0.066    0.003 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 utils.py:246(_screen_shape_windows)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)      
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      186    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}    
       20    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      7/1    0.000    0.000  250.674  250.674 {built-in method builtins.exec} 
      7/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:1002(_find_and_load)
   101/95    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)       
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      207    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.005    0.005 std.py:560(__new__)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.load}  
       50    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      208    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 std.py:846(__init__)
        3    0.000    0.000    0.002    0.001 {built-in method builtins.print}        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
